x. nm	Low	Up
198.75	-7.3534	7.3251
200.49	-7.1479	7.1504
204.25	-6.7669	6.7754
205.51	-6.6662	6.6541
210.3	-6.3216	6.2256
210.67	-6.2932	6.1947
215.71	-5.8421	5.8017
215.78	-5.8364	5.797
221.71	-5.4157	5.4135
222.13	-5.391	5.3878
229	-5.0075	4.9639
229.02	-5.0061	4.9624
234.95	-4.6466	4.6294
236.79	-4.5491	4.5338
242.74	-4.2632	4.2429
245.47	-4.1377	4.1165
250.07	-3.9248	3.9107
255.52	-3.6684	3.6767
257.4	-3.5865	3.5986
265.18	-3.2932	3.2958
267.86	-3.1913	3.203
277.08	-2.8647	2.9282
280.2	-2.7811	2.8421
286.7	-2.6391	2.6557
290.03	-2.5481	2.5602
296.31	-2.3684	2.3858
304.2	-2.1846	2.1767
308.21	-2.0977	2.0807
314.72	-1.9539	1.9624
318.74	-1.8722	1.904
327.98	-1.7124	1.7707
330.64	-1.6692	1.7261
339.41	-1.5429	1.5789
345.05	-1.4774	1.4985
361.13	-1.3045	1.297
375.08	-1.154	1.1729
376.4	-1.1391	1.1612
388.12	-1.0108	1.0376
395.39	-0.9586	0.9588
402.98	-0.911	0.8797
418.99	-0.819	0.7556
441.17	-0.7063	0.6767
445.26	-0.688	0.6541
464.5	-0.6159	0.5301
476.39	-0.5783	0.5188
486.89	-0.5414	0.4818
497.21	-0.4964	0.4286
513.67	-0.4181	0.3383
524.63	-0.3722	0.3132
539.06	-0.335	0.2932
559.4	-0.3045	0.2717
565.13	-0.2946	0.2707
582.97	-0.2598	0.282
605.61	-0.2143	0.2384
611.56	-0.2036	0.2256
624.37	-0.1858	0.2143
636.26	-0.1805	0.2048
663.02	-0.1917	0.1379
689.32	-0.1692	0.0615
